C,stockdate,symbol,totalposition,profit,comm,equity
4114.0,2016-12-30 14:58:00,,,,,
4078.0,2017-01-03 14:59:00,,,,,
4130.0,2017-01-04 14:59:00,,,,,
4137.0,2017-01-05 14:59:00,,,,,
4075.0,2017-01-06 14:59:00,,,,,
4109.0,2017-01-09 14:59:00,,,,,
4126.0,2017-01-10 14:59:00,,,,,
4161.0,2017-01-11 14:59:00,,,,,
4150.0,2017-01-12 14:59:00,,,,,
4114.0,2017-01-13 14:59:00,,,,,
4145.0,2017-01-16 14:59:00,,,,,
4134.0,2017-01-17 14:59:00,,,,,
4139.0,2017-01-18 14:59:00,,,,,
4103.0,2017-01-19 14:59:00,,,,,
4102.0,2017-01-20 14:59:00,,,,,
4102.0,2017-01-21 02:29:00,,,,,
4128.0,2017-01-23 14:59:00,,,,,
4117.0,2017-01-24 14:59:00,,,,,
4075.0,2017-01-25 14:59:00,,,,,
4025.0,2017-01-26 14:59:00,,,,,
4095.0,2017-02-03 14:59:00,,,,,
4107.0,2017-02-04 02:29:00,,,,,
4150.0,2017-02-06 14:59:00,,,,,
4162.0,2017-02-07 14:59:00,,,,,
4163.0,2017-02-08 14:59:00,,,,,
4170.0,2017-02-09 14:59:00,,,,,
4150.0,2017-02-10 14:59:00,,,,,
4212.0,2017-02-11 02:29:00,,,,,
4229.0,2017-02-13 14:59:00,,,,,
4233.0,2017-02-14 14:59:00,,,,,
4220.0,2017-02-15 14:59:00,,,,,
4223.0,2017-02-16 14:58:00,ag,24.0,,,
4226.0,2017-02-16 14:59:00,ag,24.0,1080.0,0.0,1080.0
4204.0,2017-02-20 09:41:00,ag,24.0,-7920.0,0.0,-7920.0
4204.0,2017-02-20 09:41:47,ag,22.0,0.0,40.0,-40.0
4204.0,2017-02-20 09:41:47,ag,21.0,0.0,20.0,-20.0
4204.0,2017-02-20 09:41:47,ag,20.0,0.0,20.0,-20.0
4204.0,2017-02-20 09:41:47,ag,16.0,0.0,80.0,-80.0
4203.0,2017-02-20 10:04:10,ag,15.0,-240.0,20.0,-260.0
4203.0,2017-02-20 10:04:10,ag,14.0,0.0,20.0,-20.0
4203.0,2017-02-20 10:04:10,ag,12.0,0.0,40.0,-40.0
4209.0,2017-02-20 14:59:00,ag,12.0,1080.0,0.0,1080.0
4220.0,2017-02-21 09:01:12,ag,10.0,1980.0,40.0,1940.0
