stockdate,C,CZL,totalposition,profit,profit_ZL,comm,equity,equity_ZL
2017-01-10 09:00:00,4120.0,4122.0,-3.0,,,,,
2017-01-10 09:01:00,4120.0,4122.0,3.0,-0.0,-0.0,120.0,-120.0,-120.0
2017-01-10 09:20:00,4125.0,4128.0,6.0,225.0,270.0,60.0,165.0,210.0
2017-01-10 09:24:00,4124.0,4126.0,12.0,-90.0,-180.0,120.0,-210.0,-300.0
2017-01-10 09:45:00,4124.0,4126.0,16.0,0.0,0.0,80.0,-80.0,-80.0
2017-01-10 09:53:00,4125.0,4127.0,22.0,240.0,240.0,120.0,120.0,120.0
2017-01-10 09:54:00,4125.0,4127.0,25.0,0.0,0.0,60.0,-60.0,-60.0
2017-01-10 10:11:00,4119.0,4121.0,28.0,-2250.0,-2250.0,60.0,-2310.0,-2310.0
2017-01-10 10:12:00,4120.0,4122.0,28.0,420.0,420.0,0.0,420.0,420.0
2017-01-10 10:30:00,4124.0,4126.0,31.0,1680.0,1680.0,60.0,1620.0,1620.0
2017-01-10 10:31:00,4121.0,4123.0,34.0,-1395.0,-1395.0,60.0,-1455.0,-1455.0
2017-01-10 11:11:00,4130.0,4132.0,37.0,4590.0,4590.0,60.0,4530.0,4530.0
2017-01-10 11:21:00,4128.0,4130.0,40.0,-1110.0,-1110.0,60.0,-1170.0,-1170.0
2017-01-10 11:22:00,4127.0,4129.0,37.0,-600.0,-600.0,60.0,-660.0,-660.0
2017-01-10 11:23:00,4129.0,4131.0,40.0,1110.0,1110.0,60.0,1050.0,1050.0
2017-01-10 14:59:00,4123.0,4126.0,40.0,-3600.0,-3000.0,0.0,-3600.0,-3000.0
2017-01-11 14:59:00,4159.0,4161.0,40.0,21600.0,21000.0,0.0,21600.0,21000.0
2017-01-12 14:59:00,4148.0,4150.0,40.0,-6600.0,-6600.0,0.0,-6600.0,-6600.0
2017-01-13 09:32:00,4120.0,4122.0,34.0,-16800.0,-16800.0,120.0,-16920.0,-16920.0
2017-01-13 09:38:00,4120.0,4122.0,28.0,0.0,0.0,120.0,-120.0,-120.0
2017-01-13 09:43:00,4122.0,4124.0,22.0,840.0,840.0,120.0,720.0,720.0
2017-01-13 09:49:00,4123.0,4125.0,16.0,330.0,330.0,120.0,210.0,210.0
2017-01-13 09:51:00,4123.0,4125.0,9.0,0.0,0.0,140.0,-140.0,-140.0
2017-01-13 10:11:00,4120.0,4122.0,3.0,-405.0,-405.0,120.0,-525.0,-525.0
2017-01-13 10:45:00,4117.0,4119.0,-3.0,-135.0,-135.0,120.0,-255.0,-255.0
2017-01-13 10:46:00,4117.0,4119.0,3.0,-0.0,-0.0,120.0,-120.0,-120.0
2017-01-13 10:53:00,4116.0,4118.0,-16.0,-45.0,-45.0,380.0,-425.0,-425.0
2017-01-13 10:54:00,4118.0,4120.0,3.0,-480.0,-480.0,380.0,-860.0,-860.0
2017-01-13 10:56:00,4116.0,4118.0,-3.0,-90.0,-90.0,120.0,-210.0,-210.0
2017-01-13 11:06:00,4112.0,4114.0,-9.0,180.0,180.0,120.0,60.0,60.0
2017-01-13 11:16:00,4112.0,4114.0,-28.0,-0.0,-0.0,380.0,-380.0,-380.0
2017-01-13 11:20:00,4111.0,4113.0,-34.0,420.0,420.0,120.0,300.0,300.0
2017-01-13 11:21:00,4112.0,4114.0,-28.0,-510.0,-510.0,120.0,-630.0,-630.0
2017-01-13 11:28:00,4111.0,4113.0,-40.0,420.0,420.0,240.0,180.0,180.0
2017-01-13 11:29:00,4109.0,4111.0,-34.0,1200.0,1200.0,120.0,1080.0,1080.0
2017-01-13 13:31:00,4108.0,4110.0,-40.0,510.0,510.0,120.0,390.0,390.0
2017-01-13 14:59:00,4112.0,4114.0,-40.0,-2400.0,-2400.0,0.0,-2400.0,-2400.0
