profit,comm,equity,profit_ZL,equity_ZL,day
21200.0,50.0,21150.0,,,20161207
-5445.0,50.0,-5495.0,,,20161208
-2195.0,160.0,-2355.0,,,20161209
2425.0,50.0,2375.0,,,20161212
0.0,0.0,0.0,,,20161213
0.0,0.0,0.0,,,20161214
0.0,0.0,0.0,,,20161215
-4150.0,100.0,-4250.0,,,20161216
0.0,0.0,0.0,,,20161219
0.0,0.0,0.0,,,20161220
0.0,0.0,0.0,,,20161221
0.0,0.0,0.0,,,20161222
0.0,0.0,0.0,,,20161223
0.0,0.0,0.0,,,20161226
0.0,0.0,0.0,,,20161227
0.0,0.0,0.0,,,20161228
0.0,0.0,0.0,,,20161229
0.0,0.0,0.0,,,20161230
0.0,0.0,0.0,,,20170103
0.0,0.0,0.0,0.0,0.0,20170104
0.0,0.0,0.0,0.0,0.0,20170105
0.0,0.0,0.0,0.0,0.0,20170106
0.0,0.0,0.0,0.0,0.0,20170109
-40415.0,2510.0,-42925.0,-41730.0,-44240.0,20170110
-3510.0,150.0,-3660.0,-3925.0,-4075.0,20170111
22470.0,790.0,21680.0,22435.0,21645.0,20170112
13015.0,0.0,13015.0,13205.0,13205.0,20170113
0.0,0.0,0.0,0.0,0.0,20170114
30115.0,0.0,30115.0,30210.0,30210.0,20170116
-13980.0,190.0,-14170.0,-14265.0,-14455.0,20170117
0.0,0.0,0.0,0.0,0.0,20170118
0.0,0.0,0.0,0.0,0.0,20170119
-7130.0,470.0,-7600.0,-7350.0,-7820.0,20170120
0.0,0.0,0.0,0.0,0.0,20170121
15200.0,0.0,15200.0,15390.0,15390.0,20170123
-9160.0,190.0,-9350.0,-9255.0,-9445.0,20170124
3325.0,50.0,3275.0,3325.0,3275.0,20170125
-3650.0,150.0,-3800.0,-3700.0,-3850.0,20170126
-4675.0,150.0,-4825.0,-4725.0,-4875.0,20170203
0.0,0.0,0.0,0.0,0.0,20170204
585.0,580.0,5.0,635.0,55.0,20170206
-11425.0,580.0,-12005.0,-12875.0,-13455.0,20170207
4900.0,1010.0,3890.0,5370.0,4360.0,20170208
-67635.0,2320.0,-69955.0,-69950.0,-72270.0,20170209
-18185.0,570.0,-18755.0,-18785.0,-19355.0,20170210
0.0,0.0,0.0,0.0,0.0,20170211
-59260.0,1570.0,-60830.0,-61710.0,-63280.0,20170213
