profit,comm,equity,profit_ZL,equity_ZL,day
-9700.0,740.0,-10440.0,-9580.0,-10320.0,20170104
4940.0,0.0,4940.0,4680.0,4680.0,20170105
8840.0,0.0,8840.0,8840.0,8840.0,20170106
-2860.0,0.0,-2860.0,-2860.0,-2860.0,20170107
-5720.0,0.0,-5720.0,-5720.0,-5720.0,20170109
-5800.0,260.0,-6060.0,-5940.0,-6200.0,20170110
-1720.0,800.0,-2520.0,-960.0,-1760.0,20170111
2880.0,0.0,2880.0,2560.0,2560.0,20170112
-960.0,0.0,-960.0,-320.0,-320.0,20170113
3200.0,0.0,3200.0,3200.0,3200.0,20170114
4800.0,0.0,4800.0,5120.0,5120.0,20170116
-960.0,0.0,-960.0,-320.0,-320.0,20170117
-1640.0,140.0,-1780.0,-1320.0,-1460.0,20170118
-2260.0,60.0,-2320.0,-1740.0,-1800.0,20170119
-9340.0,720.0,-10060.0,-9540.0,-10260.0,20170120
2800.0,0.0,2800.0,3000.0,3000.0,20170121
-400.0,0.0,-400.0,-400.0,-400.0,20170123
18700.0,1660.0,17040.0,20240.0,18580.0,20170124
-36380.0,2140.0,-38520.0,-37260.0,-39400.0,20170125
40900.0,500.0,40400.0,41420.0,40920.0,20170126
41160.0,0.0,41160.0,42140.0,42140.0,20170203
-15680.0,0.0,-15680.0,-15680.0,-15680.0,20170204
9800.0,0.0,9800.0,6860.0,6860.0,20170206
8820.0,0.0,8820.0,7840.0,7840.0,20170207
-46940.0,1500.0,-48440.0,-52160.0,-53660.0,20170208
880.0,320.0,560.0,820.0,500.0,20170209
-6660.0,2360.0,-9020.0,-5820.0,-8180.0,20170210
-4160.0,0.0,-4160.0,-3520.0,-3520.0,20170211
6300.0,1580.0,4720.0,6800.0,5220.0,20170213
13860.0,0.0,13860.0,12180.0,12180.0,20170214
