profit,comm,equity,profit_ZL,equity_ZL,day
,,,,,20161205
0.0,0.0,0.0,,,20161206
0.0,0.0,0.0,,,20161207
0.0,0.0,0.0,,,20161208
0.0,0.0,0.0,,,20161209
-26660.0,520.0,-27180.0,,,20161212
-8780.0,140.0,-8920.0,,,20161213
-5040.0,620.0,-5660.0,,,20161214
-7290.0,400.0,-7690.0,,,20161215
-11900.0,1420.0,-13320.0,,,20161216
61380.0,0.0,61380.0,,,20161219
28380.0,0.0,28380.0,,,20161220
-4290.0,0.0,-4290.0,,,20161221
83490.0,0.0,83490.0,,,20161222
-1650.0,0.0,-1650.0,,,20161223
195360.0,0.0,195360.0,,,20161226
-44000.0,660.0,-44660.0,,,20161227
0.0,0.0,0.0,,,20161228
0.0,0.0,0.0,,,20161229
0.0,0.0,0.0,,,20161230
0.0,0.0,0.0,,,20170103
0.0,0.0,0.0,0.0,0.0,20170104
0.0,0.0,0.0,0.0,0.0,20170105
0.0,0.0,0.0,0.0,0.0,20170106
12900.0,600.0,12300.0,12960.0,12360.0,20170109
20020.0,0.0,20020.0,19760.0,19760.0,20170110
16120.0,0.0,16120.0,16120.0,16120.0,20170111
-36320.0,520.0,-36840.0,-36780.0,-37300.0,20170112
0.0,0.0,0.0,0.0,0.0,20170113
-3000.0,240.0,-3240.0,-3190.0,-3430.0,20170116
2290.0,720.0,1570.0,2180.0,1460.0,20170117
2080.0,0.0,2080.0,2080.0,2080.0,20170118
2560.0,0.0,2560.0,2720.0,2720.0,20170119
54800.0,60.0,54740.0,54830.0,54770.0,20170120
-19710.0,140.0,-19850.0,-19710.0,-19850.0,20170123
