C,stockdate,symbol,totalposition,profit,comm,equity
3417.0,2017-01-05 14:59:00,,,,,
3355.0,2017-01-06 14:59:00,,,,,
3365.0,2017-01-09 14:59:00,,,,,
3366.0,2017-01-10 14:59:00,,,,,
3484.0,2017-01-11 14:59:00,,,,,
3455.0,2017-01-12 14:59:00,,,,,
3404.0,2017-01-13 14:59:00,,,,,
3426.0,2017-01-16 14:59:00,,,,,
3380.0,2017-01-17 14:59:00,,,,,
3388.0,2017-01-18 14:59:00,,,,,
3424.0,2017-01-19 14:59:00,,,,,
3386.0,2017-01-20 14:59:00,,,,,
3402.0,2017-01-23 14:59:00,,,,,
3418.0,2017-01-24 14:59:00,,,,,
3391.0,2017-01-25 14:59:00,,,,,
3393.0,2017-01-26 14:59:00,,,,,
3299.0,2017-02-03 14:59:00,,,,,
3317.0,2017-02-06 14:59:00,,,,,
3314.0,2017-02-07 14:59:00,,,,,
3323.0,2017-02-08 14:59:00,,,,,
3320.0,2017-02-09 14:59:00,,,,,
3325.0,2017-02-10 14:59:00,,,,,
3368.0,2017-02-13 14:58:00,jd,21.0,,,
3368.0,2017-02-13 14:59:00,jd,21.0,0.0,0.0,0.0
3363.0,2017-02-14 14:59:00,jd,21.0,-525.0,0.0,-525.0
3330.0,2017-02-15 10:04:00,jd,21.0,-3465.0,0.0,-3465.0
3329.0,2017-02-15 10:04:42,jd,19.0,-105.0,20.0,-125.0
3326.0,2017-02-15 10:07:12,jd,16.0,-285.0,30.0,-315.0
3324.0,2017-02-15 10:31:11,jd,11.0,-160.0,50.0,-210.0
3320.0,2017-02-15 10:32:07,jd,8.0,-220.0,30.0,-250.0
3315.0,2017-02-15 10:34:53,jd,5.0,-200.0,30.0,-230.0
3314.0,2017-02-15 10:35:43,jd,7.0,-25.0,20.0,-45.0
3314.0,2017-02-15 10:35:43,jd,8.0,0.0,10.0,-10.0
3314.0,2017-02-15 10:40:10,jd,6.0,0.0,20.0,-20.0
3314.0,2017-02-15 10:40:10,jd,5.0,0.0,10.0,-10.0
3318.0,2017-02-15 10:41:42,jd,3.0,100.0,20.0,80.0
3318.0,2017-02-15 10:41:42,jd,0.0,0.0,30.0,-30.0
3314.0,2017-02-15 10:45:43,jd,-1.0,-0.0,10.0,-10.0
3314.0,2017-02-15 10:45:43,jd,-2.0,-0.0,10.0,-10.0
3314.0,2017-02-15 10:45:43,jd,-3.0,-0.0,10.0,-10.0
3316.0,2017-02-15 10:46:12,jd,0.0,-30.0,30.0,-60.0
3313.0,2017-02-15 10:49:43,jd,-16.0,-0.0,160.0,-160.0
3316.0,2017-02-15 10:51:43,jd,-19.0,-240.0,30.0,-270.0
3316.0,2017-02-15 10:51:44,jd,-23.0,-0.0,40.0,-40.0
3316.0,2017-02-15 10:51:44,jd,-24.0,-0.0,10.0,-10.0
3317.0,2017-02-15 10:53:02,jd,-23.0,-120.0,10.0,-130.0
3317.0,2017-02-15 10:53:03,jd,-22.0,-0.0,10.0,-10.0
3317.0,2017-02-15 10:53:04,jd,-21.0,-0.0,10.0,-10.0
3317.0,2017-02-15 10:53:07,jd,-20.0,-0.0,10.0,-10.0
3317.0,2017-02-15 10:53:09,jd,-19.0,-0.0,10.0,-10.0
3317.0,2017-02-15 10:53:10,jd,-18.0,-0.0,10.0,-10.0
3317.0,2017-02-15 10:53:10,jd,-17.0,-0.0,10.0,-10.0
3317.0,2017-02-15 10:53:30,jd,-16.0,-0.0,10.0,-10.0
3315.0,2017-02-15 10:56:09,jd,-18.0,160.0,20.0,140.0
3315.0,2017-02-15 10:56:09,jd,-19.0,-0.0,10.0,-10.0
3316.0,2017-02-15 10:57:43,jd,-23.0,-95.0,40.0,-135.0
3316.0,2017-02-15 10:57:43,jd,-24.0,-0.0,10.0,-10.0
3316.0,2017-02-15 10:58:12,jd,-25.0,-0.0,10.0,-10.0
3316.0,2017-02-15 10:58:12,jd,-26.0,-0.0,10.0,-10.0
3316.0,2017-02-15 10:58:12,jd,-27.0,-0.0,10.0,-10.0
3316.0,2017-02-15 10:58:12,jd,-28.0,-0.0,10.0,-10.0
3316.0,2017-02-15 10:58:12,jd,-29.0,-0.0,10.0,-10.0
3316.0,2017-02-15 10:58:12,jd,-30.0,-0.0,10.0,-10.0
3316.0,2017-02-15 10:58:12,jd,-31.0,-0.0,10.0,-10.0
3316.0,2017-02-15 10:58:12,jd,-32.0,-0.0,10.0,-10.0
3316.0,2017-02-15 11:21:08,jd,-33.0,-0.0,10.0,-10.0
3316.0,2017-02-15 11:21:10,jd,-35.0,-0.0,20.0,-20.0
3316.0,2017-02-15 11:21:10,jd,-36.0,-0.0,10.0,-10.0
3316.0,2017-02-15 11:21:11,jd,-37.0,-0.0,10.0,-10.0
3309.0,2017-02-15 13:31:10,jd,-38.0,1295.0,10.0,1285.0
3309.0,2017-02-15 13:31:10,jd,-39.0,-0.0,10.0,-10.0
3309.0,2017-02-15 13:31:10,jd,-40.0,-0.0,10.0,-10.0
3314.0,2017-02-15 14:59:00,jd,-40.0,-1000.0,0.0,-1000.0
