C,stockdate,symbol,totalposition,profit,comm,equity
5342.0,2017-01-05 14:59:00,,,,,
5352.0,2017-01-06 14:59:00,,,,,
5376.0,2017-01-09 14:59:00,,,,,
5334.0,2017-01-10 14:59:00,,,,,
5418.0,2017-01-11 14:59:00,,,,,
5448.0,2017-01-12 14:59:00,,,,,
5456.0,2017-01-13 14:59:00,,,,,
5456.0,2017-01-16 14:59:00,,,,,
5436.0,2017-01-17 14:59:00,,,,,
5416.0,2017-01-18 14:59:00,,,,,
5452.0,2017-01-19 14:59:00,,,,,
5400.0,2017-01-20 14:59:00,,,,,
5572.0,2017-01-23 14:59:00,,,,,
5568.0,2017-01-24 14:59:00,,,,,
5662.0,2017-01-25 14:59:00,,,,,
5656.0,2017-01-26 14:59:00,,,,,
5652.0,2017-02-03 14:59:00,,,,,
5784.0,2017-02-06 14:59:00,,,,,
5746.0,2017-02-07 14:59:00,,,,,
5768.0,2017-02-08 14:59:00,,,,,
5702.0,2017-02-09 14:59:00,,,,,
5744.0,2017-02-10 14:59:00,,,,,
5852.0,2017-02-13 14:58:00,ta,54.0,,,
5846.0,2017-02-13 14:59:00,ta,54.0,-1620.0,0.0,-1620.0
5856.0,2017-02-14 14:59:00,ta,54.0,2700.0,0.0,2700.0
5766.0,2017-02-15 09:10:00,ta,54.0,-24300.0,0.0,-24300.0
5764.0,2017-02-15 09:10:43,TA,49.0,-540.0,50.0,-590.0
5764.0,2017-02-15 09:10:43,TA,42.0,0.0,70.0,-70.0
5764.0,2017-02-15 09:12:42,TA,27.0,0.0,150.0,-150.0
5766.0,2017-02-15 09:20:42,TA,22.0,270.0,50.0,220.0
5766.0,2017-02-15 09:20:42,TA,19.0,0.0,30.0,-30.0
5766.0,2017-02-15 09:22:43,TA,18.0,0.0,10.0,-10.0
5766.0,2017-02-15 09:22:43,TA,17.0,0.0,10.0,-10.0
5766.0,2017-02-15 09:22:43,TA,15.0,0.0,20.0,-20.0
5766.0,2017-02-15 09:22:43,TA,12.0,0.0,30.0,-30.0
5764.0,2017-02-15 09:24:42,TA,8.0,-120.0,40.0,-160.0
5770.0,2017-02-15 09:26:42,TA,0.0,240.0,80.0,160.0
5770.0,2017-02-15 09:26:42,TA,-4.0,0.0,40.0,-40.0
5770.0,2017-02-15 09:26:42,TA,-8.0,-0.0,40.0,-40.0
5764.0,2017-02-15 09:28:43,TA,-12.0,240.0,40.0,200.0
5768.0,2017-02-15 09:32:43,TA,-13.0,-240.0,10.0,-250.0
5768.0,2017-02-15 09:32:43,TA,-14.0,-0.0,10.0,-10.0
5768.0,2017-02-15 09:32:43,TA,-15.0,-0.0,10.0,-10.0
5768.0,2017-02-15 09:32:43,TA,-16.0,-0.0,10.0,-10.0
5768.0,2017-02-15 09:32:43,TA,-19.0,-0.0,30.0,-30.0
5766.0,2017-02-15 09:34:43,TA,-23.0,190.0,40.0,150.0
5766.0,2017-02-15 09:38:42,TA,-31.0,-0.0,80.0,-80.0
5770.0,2017-02-15 09:49:42,TA,-35.0,-620.0,40.0,-660.0
5768.0,2017-02-15 09:57:42,TA,-38.0,350.0,30.0,320.0
5770.0,2017-02-15 10:07:12,TA,-42.0,-380.0,40.0,-420.0
5768.0,2017-02-15 10:11:08,TA,-46.0,420.0,40.0,380.0
5762.0,2017-02-15 10:31:11,TA,-54.0,1380.0,80.0,1300.0
5708.0,2017-02-15 14:59:00,TA,-54.0,14580.0,0.0,14580.0
