profit,comm,equity,profit_ZL,equity_ZL,day
-5175.0,0.0,-5175.0,-6325.0,-6325.0,20161230
-8975.0,1150.0,-10125.0,-8600.0,-9750.0,20170103
-5175.0,0.0,-5175.0,-10350.0,-10350.0,20170104
9200.0,0.0,9200.0,9775.0,9775.0,20170105
8625.0,0.0,8625.0,9775.0,9775.0,20170106
-8125.0,200.0,-8325.0,-9950.0,-10150.0,20170109
-16675.0,1150.0,-17825.0,-19350.0,-20500.0,20170110
20125.0,0.0,20125.0,19550.0,19550.0,20170111
25875.0,0.0,25875.0,27600.0,27600.0,20170112
-4025.0,575.0,-4600.0,-6325.0,-6900.0,20170113
0.0,0.0,0.0,0.0,0.0,20170116
-4500.0,300.0,-4800.0,-4500.0,-4800.0,20170117
-2700.0,400.0,-3100.0,-3000.0,-3400.0,20170118
-3000.0,800.0,-3800.0,-3000.0,-3800.0,20170119
-9050.0,675.0,-9725.0,-9525.0,-10200.0,20170120
40250.0,0.0,40250.0,40825.0,40825.0,20170123
5175.0,0.0,5175.0,4025.0,4025.0,20170124
36800.0,0.0,36800.0,37375.0,37375.0,20170125
-33925.0,575.0,-34500.0,-35650.0,-36225.0,20170126
0.0,0.0,0.0,0.0,0.0,20170203
-4500.0,1125.0,-5625.0,-3750.0,-4875.0,20170206
1500.0,0.0,1500.0,2250.0,2250.0,20170207
-6125.0,375.0,-6500.0,-5725.0,-6100.0,20170208
-3375.0,375.0,-3750.0,-3750.0,-4125.0,20170209
-25200.0,1325.0,-26525.0,-25950.0,-27275.0,20170210
-17500.0,775.0,-18275.0,-17100.0,-17875.0,20170213
43700.0,0.0,43700.0,52900.0,52900.0,20170214
-7475.0,0.0,-7475.0,-8050.0,-8050.0,20170215
3450.0,0.0,3450.0,2300.0,2300.0,20170216
-3450.0,575.0,-4025.0,0.0,-575.0,20170217
0.0,0.0,0.0,0.0,0.0,20170220
0.0,0.0,0.0,0.0,0.0,20170221
0.0,0.0,0.0,0.0,0.0,20170222
0.0,0.0,0.0,0.0,0.0,20170223
0.0,0.0,0.0,0.0,0.0,20170224
0.0,0.0,0.0,0.0,0.0,20170227
300.0,100.0,200.0,0.0,-100.0,20170228
-500.0,200.0,-700.0,0.0,-200.0,20170301
