C,stockdate,symbol,totalposition,profit,comm,equity
2736.0,2017-01-16 23:59:00,bu,30.0,,,
2716.0,2017-01-17 11:24:43,bu,10.0,-6000.0,400.0,-6400.0
2718.0,2017-01-17 11:25:11,bu,13.0,200.0,60.0,140.0
2718.0,2017-01-17 11:25:11,bu,30.0,0.0,340.0,-340.0
2720.0,2017-01-17 11:25:43,bu,20.0,600.0,200.0,400.0
2726.0,2017-01-17 11:27:02,bu,24.0,1200.0,80.0,1120.0
2726.0,2017-01-17 11:27:02,bu,26.0,0.0,40.0,-40.0
2726.0,2017-01-17 11:27:02,bu,27.0,0.0,20.0,-20.0
2726.0,2017-01-17 11:27:03,bu,29.0,0.0,40.0,-40.0
2726.0,2017-01-17 11:27:03,bu,30.0,0.0,20.0,-20.0
2700.0,2017-01-17 13:31:07,bu,25.0,-7800.0,100.0,-7900.0
2700.0,2017-01-17 13:31:07,bu,24.0,0.0,20.0,-20.0
2700.0,2017-01-17 13:31:07,bu,23.0,0.0,20.0,-20.0
2700.0,2017-01-17 13:31:07,bu,22.0,0.0,20.0,-20.0
2700.0,2017-01-17 13:31:07,bu,17.0,0.0,100.0,-100.0
2700.0,2017-01-17 13:31:07,bu,0.0,0.0,340.0,-340.0
2700.0,2017-01-17 13:31:07,bu,-10.0,0.0,200.0,-200.0
2704.0,2017-01-17 13:34:43,bu,-12.0,-400.0,40.0,-440.0
2704.0,2017-01-17 13:34:43,bu,-20.0,-0.0,160.0,-160.0
2706.0,2017-01-17 13:35:33,bu,-10.0,-400.0,200.0,-600.0
2710.0,2017-01-17 13:41:43,bu,-20.0,-400.0,200.0,-600.0
2684.0,2017-01-17 14:25:43,bu,-30.0,5200.0,200.0,5000.0
2688.0,2017-01-17 14:27:11,bu,-20.0,-1200.0,200.0,-1400.0
2694.0,2017-01-17 14:39:09,bu,-21.0,-1200.0,20.0,-1220.0
2694.0,2017-01-17 14:39:09,bu,-22.0,-0.0,20.0,-20.0
2694.0,2017-01-17 14:39:09,bu,-29.0,-0.0,140.0,-140.0
2694.0,2017-01-17 14:39:09,bu,-30.0,-0.0,20.0,-20.0
2672.0,2017-01-17 14:59:00,bu,-30.0,6600.0,0.0,6600.0
2676.0,2017-01-17 14:59:43,bu,-39.0,-1200.0,180.0,-1380.0
2676.0,2017-01-17 14:59:43,bu,-40.0,-0.0,20.0,-20.0
2692.0,2017-01-18 09:00:57,bu,-30.0,-6400.0,200.0,-6600.0
2692.0,2017-01-18 09:01:13,bu,-33.0,-0.0,60.0,-60.0
2692.0,2017-01-18 09:01:13,bu,-40.0,-0.0,140.0,-140.0
2676.0,2017-01-18 14:59:00,bu,-40.0,6400.0,0.0,6400.0
2648.0,2017-01-19 14:48:46,bu,-41.0,11200.0,20.0,11180.0
2648.0,2017-01-19 14:48:46,bu,-42.0,-0.0,20.0,-20.0
2648.0,2017-01-19 14:48:46,bu,-43.0,-0.0,20.0,-20.0
2648.0,2017-01-19 14:48:46,bu,-45.0,-0.0,40.0,-40.0
2648.0,2017-01-19 14:48:46,bu,-49.0,-0.0,80.0,-80.0
2648.0,2017-01-19 14:48:46,bu,-50.0,-0.0,20.0,-20.0
2648.0,2017-01-19 14:48:46,bu,-51.0,-0.0,20.0,-20.0
2648.0,2017-01-19 14:48:46,bu,-56.0,-0.0,100.0,-100.0
2648.0,2017-01-19 14:48:46,bu,-57.0,-0.0,20.0,-20.0
2648.0,2017-01-19 14:48:46,bu,-67.0,-0.0,200.0,-200.0
2648.0,2017-01-19 14:48:46,bu,-68.0,-0.0,20.0,-20.0
2648.0,2017-01-19 14:48:46,bu,-78.0,-0.0,200.0,-200.0
2648.0,2017-01-19 14:48:46,bu,-79.0,-0.0,20.0,-20.0
2648.0,2017-01-19 14:48:46,bu,-80.0,-0.0,20.0,-20.0
2648.0,2017-01-19 14:49:06,bu,-40.0,-0.0,800.0,-800.0
2648.0,2017-01-19 14:59:00,bu,-40.0,-0.0,0.0,-0.0
2570.0,2017-01-20 14:59:00,bu,-40.0,31200.0,0.0,31200.0
