C,stockdate,symbol,totalposition,profit,comm,equity
2859.0,2017-01-16 23:59:00,ma,67.0,,,
2818.0,2017-01-17 10:04:15,MA,66.0,-27470.0,10.0,-27480.0
2818.0,2017-01-17 10:04:15,MA,65.0,0.0,10.0,-10.0
2818.0,2017-01-17 10:04:15,MA,64.0,0.0,10.0,-10.0
2818.0,2017-01-17 10:04:15,MA,63.0,0.0,10.0,-10.0
2818.0,2017-01-17 10:04:15,MA,62.0,0.0,10.0,-10.0
2818.0,2017-01-17 10:04:15,MA,60.0,0.0,20.0,-20.0
2818.0,2017-01-17 10:04:15,MA,59.0,0.0,10.0,-10.0
2825.0,2017-01-17 10:06:13,MA,58.0,4130.0,10.0,4120.0
2825.0,2017-01-17 10:06:13,MA,50.0,0.0,80.0,-80.0
2827.0,2017-01-17 10:07:09,MA,46.0,1000.0,40.0,960.0
2827.0,2017-01-17 10:07:09,MA,42.0,0.0,40.0,-40.0
2824.0,2017-01-17 11:19:14,MA,41.0,-1260.0,10.0,-1270.0
2824.0,2017-01-17 11:19:14,MA,40.0,0.0,10.0,-10.0
2824.0,2017-01-17 11:19:14,MA,33.0,0.0,70.0,-70.0
2817.0,2017-01-17 11:24:44,MA,31.0,-2310.0,20.0,-2330.0
2817.0,2017-01-17 11:24:44,MA,26.0,0.0,50.0,-50.0
2817.0,2017-01-17 11:24:44,MA,25.0,0.0,10.0,-10.0
2817.0,2017-01-17 11:24:44,MA,24.0,0.0,10.0,-10.0
2817.0,2017-01-17 11:24:44,MA,23.0,0.0,10.0,-10.0
2817.0,2017-01-17 11:24:44,MA,22.0,0.0,10.0,-10.0
2817.0,2017-01-17 11:24:44,MA,21.0,0.0,10.0,-10.0
2817.0,2017-01-17 11:24:44,MA,20.0,0.0,10.0,-10.0
2817.0,2017-01-17 11:24:44,MA,18.0,0.0,20.0,-20.0
2817.0,2017-01-17 11:24:44,MA,17.0,0.0,10.0,-10.0
2817.0,2017-01-17 11:25:10,MA,19.0,0.0,20.0,-20.0
2819.0,2017-01-17 11:25:10,MA,23.0,380.0,40.0,340.0
2819.0,2017-01-17 11:25:10,MA,33.0,0.0,100.0,-100.0
2821.0,2017-01-17 11:26:44,MA,32.0,660.0,10.0,650.0
2821.0,2017-01-17 11:26:44,MA,27.0,0.0,50.0,-50.0
2821.0,2017-01-17 11:26:44,MA,24.0,0.0,30.0,-30.0
2821.0,2017-01-17 11:26:44,MA,23.0,0.0,10.0,-10.0
2821.0,2017-01-17 11:26:44,MA,17.0,0.0,60.0,-60.0
2822.0,2017-01-17 11:27:23,MA,25.0,170.0,80.0,90.0
2803.0,2017-01-17 13:31:10,MA,21.0,-4750.0,40.0,-4790.0
2803.0,2017-01-17 13:31:10,MA,13.0,0.0,80.0,-80.0
2803.0,2017-01-17 13:31:10,MA,12.0,0.0,10.0,-10.0
2803.0,2017-01-17 13:31:10,MA,11.0,0.0,10.0,-10.0
