profit,comm,equity,profit_ZL,equity_ZL,day
,,,,,20161219
109650.0,0.0,109650.0,,,20161220
-45700.0,450.0,-46150.0,,,20161221
-12950.0,625.0,-13575.0,,,20161222
0.0,0.0,0.0,,,20161223
6800.0,325.0,6475.0,,,20161226
-6700.0,325.0,-7025.0,,,20161227
0.0,0.0,0.0,,,20161228
375.0,75.0,300.0,,,20161229
1425.0,0.0,1425.0,,,20161230
825.0,0.0,825.0,,,20170103
0.0,0.0,0.0,0.0,0.0,20170104
3150.0,0.0,3150.0,3225.0,3225.0,20170105
-1650.0,0.0,-1650.0,-1725.0,-1725.0,20170106
3350.0,525.0,2825.0,3150.0,2625.0,20170109
-225.0,1675.0,-1900.0,100.0,-1575.0,20170110
-4125.0,0.0,-4125.0,-4500.0,-4500.0,20170111
-11975.0,3300.0,-15275.0,-12100.0,-15400.0,20170112
22850.0,1575.0,21275.0,22450.0,20875.0,20170113
-8000.0,225.0,-8225.0,-7300.0,-7525.0,20170116
-10375.0,2500.0,-12875.0,-9125.0,-11625.0,20170117
-10575.0,1325.0,-11900.0,-11075.0,-12400.0,20170118
4175.0,2100.0,2075.0,4175.0,2075.0,20170119
-18750.0,0.0,-18750.0,-18750.0,-18750.0,20170120
55500.0,0.0,55500.0,56250.0,56250.0,20170123
21750.0,0.0,21750.0,21000.0,21000.0,20170124
-9000.0,0.0,-9000.0,-9750.0,-9750.0,20170125
7500.0,0.0,7500.0,6750.0,6750.0,20170126
43275.0,75.0,43200.0,44850.0,44775.0,20170203
17550.0,75.0,17475.0,17550.0,17475.0,20170206
-26775.0,1000.0,-27775.0,-26775.0,-27775.0,20170207
0.0,0.0,0.0,0.0,0.0,20170208
0.0,150.0,-150.0,0.0,-150.0,20170209
-17750.0,2525.0,-20275.0,-18075.0,-20600.0,20170210
