stockdate,C,CZL,totalposition,profit,profit_ZL,comm,equity,equity_ZL
2017-02-17 09:12:00,1393.0,,0.0,,,,,
2017-02-17 09:20:00,1421.0,,8.0,0.0,,80.0,-80.0,
2017-02-17 09:21:00,1417.0,,17.0,-640.0,,90.0,-730.0,
2017-02-17 09:22:00,1416.0,,25.0,-340.0,,80.0,-420.0,
2017-02-17 09:24:00,1413.0,,34.0,-1500.0,,90.0,-1590.0,
2017-02-17 09:26:00,1416.0,,59.0,2040.0,,250.0,1790.0,
2017-02-17 09:28:00,1416.0,,68.0,0.0,,90.0,-90.0,
2017-02-17 09:32:00,1422.0,,76.0,8160.0,,80.0,8080.0,
2017-02-17 09:38:00,1416.0,,85.0,-9120.0,,90.0,-9210.0,
2017-02-17 10:07:00,1402.0,,76.0,-23800.0,,90.0,-23890.0,
2017-02-17 13:49:00,1391.0,,68.0,-16720.0,,80.0,-16800.0,
2017-02-17 13:50:00,1395.0,,76.0,5440.0,,80.0,5360.0,
2017-02-17 13:51:00,1392.0,,59.0,-4560.0,,170.0,-4730.0,
2017-02-17 13:52:00,1393.0,,68.0,1180.0,,90.0,1090.0,
2017-02-17 13:53:00,1393.0,,42.0,0.0,,260.0,-260.0,
2017-02-17 13:54:00,1387.0,,59.0,-5040.0,,170.0,-5210.0,
2017-02-17 13:55:00,1384.0,,59.0,-3540.0,,0.0,-3540.0,
2017-02-17 13:58:00,1378.0,,17.0,-7080.0,,420.0,-7500.0,
2017-02-17 14:00:00,1366.0,,0.0,-4080.0,,170.0,-4250.0,
2017-02-17 14:01:00,1371.0,,-8.0,0.0,,80.0,-80.0,
2017-02-17 14:10:00,1371.0,,-17.0,-0.0,,90.0,-90.0,
2017-02-17 14:11:00,1374.0,,-8.0,-1020.0,,90.0,-1110.0,
2017-02-17 14:13:00,1371.0,,-17.0,480.0,,90.0,390.0,
2017-02-17 14:16:00,1379.0,,-25.0,-2720.0,,80.0,-2800.0,
2017-02-17 14:20:00,1380.0,,-34.0,-500.0,,90.0,-590.0,
2017-02-17 14:22:00,1378.0,,-42.0,1360.0,,80.0,1280.0,
2017-02-17 14:23:00,1380.0,,-34.0,-1680.0,,80.0,-1760.0,
2017-02-17 14:46:00,1379.0,,-42.0,680.0,,80.0,600.0,
2017-02-17 14:49:00,1380.0,,-51.0,-840.0,,90.0,-930.0,
2017-02-17 14:54:00,1369.0,,-59.0,11220.0,,80.0,11140.0,
2017-02-17 14:55:00,1370.0,,-51.0,-1180.0,,80.0,-1260.0,
2017-02-17 14:57:00,1374.0,,-59.0,-4080.0,,80.0,-4160.0,
2017-02-17 14:58:00,1376.0,,-51.0,-2360.0,,80.0,-2440.0,
2017-02-17 14:59:00,1377.0,,-51.0,-1020.0,,0.0,-1020.0,
2017-02-17 14:59:00,1377.0,,-51.0,-0.0,,0.0,-0.0,
2017-02-20 09:10:00,1376.0,1374.0,-59.0,1020.0,,80.0,940.0,
2017-02-20 09:26:00,1379.0,1377.0,-76.0,-3540.0,-3540.0,170.0,-3710.0,-3710.0
2017-02-20 09:28:00,1380.0,1377.0,-85.0,-1520.0,-0.0,90.0,-1610.0,-90.0
2017-02-20 14:59:00,1387.0,1384.0,-85.0,-11900.0,-11900.0,0.0,-11900.0,-11900.0
2017-02-21 09:10:00,1406.0,1403.0,-59.0,-32300.0,-32300.0,260.0,-32560.0,-32560.0
2017-02-21 09:12:00,1405.0,1402.0,-42.0,1180.0,1180.0,170.0,1010.0,1010.0
2017-02-21 09:20:00,1401.0,1398.0,-25.0,3360.0,3360.0,170.0,3190.0,3190.0
2017-02-21 09:21:00,1402.0,1399.0,-17.0,-500.0,-500.0,80.0,-580.0,-580.0
2017-02-21 09:22:00,1402.0,1399.0,0.0,-0.0,-0.0,170.0,-170.0,-170.0
2017-02-21 09:24:00,1402.0,1399.0,8.0,0.0,0.0,80.0,-80.0,-80.0
2017-02-21 09:26:00,1402.0,1399.0,42.0,0.0,0.0,340.0,-340.0,-340.0
2017-02-21 09:28:00,1400.0,1397.0,59.0,-1680.0,-1680.0,170.0,-1850.0,-1850.0
2017-02-21 11:13:00,1383.0,1379.0,51.0,-20060.0,-21240.0,80.0,-20140.0,-21320.0
2017-02-21 11:19:00,1375.0,1371.0,34.0,-8160.0,-8160.0,170.0,-8330.0,-8330.0
2017-02-21 11:20:00,1374.0,1370.0,17.0,-680.0,-680.0,170.0,-850.0,-850.0
2017-02-21 11:21:00,1377.0,1373.0,25.0,1020.0,1020.0,80.0,940.0,940.0
2017-02-21 11:22:00,1377.0,1373.0,34.0,0.0,0.0,90.0,-90.0,-90.0
2017-02-21 11:24:00,1383.0,1379.0,17.0,4080.0,4080.0,170.0,3910.0,3910.0
2017-02-21 11:28:00,1378.0,1374.0,17.0,-1700.0,-1700.0,0.0,-1700.0,-1700.0
2017-02-21 13:31:00,1374.0,1371.0,-42.0,-1360.0,-1020.0,590.0,-1950.0,-1610.0
2017-02-21 14:53:00,1371.0,1367.0,-59.0,2520.0,3360.0,170.0,2350.0,3190.0
2017-02-21 14:54:00,1369.0,1365.0,-42.0,2360.0,2360.0,170.0,2190.0,2190.0
2017-02-21 14:59:00,1370.0,1365.0,-59.0,-840.0,-0.0,170.0,-1010.0,-170.0
2017-02-22 09:00:00,1363.0,1358.0,-42.0,8260.0,8260.0,170.0,8090.0,8090.0
2017-02-22 09:01:00,1363.0,1358.0,-59.0,-0.0,-0.0,170.0,-170.0,-170.0
2017-02-22 14:59:00,1364.0,1359.0,-59.0,-1180.0,-1180.0,0.0,-1180.0,-1180.0
