stockdate,C,totalposition,profit,comm,equity
2017-01-17 11:24:00,5434.0,31.0,,,
2017-01-17 11:25:00,5438.0,38.0,620.0,70.0,550.0
2017-01-17 13:31:00,5438.0,31.0,0.0,70.0,-70.0
2017-01-17 14:59:00,5448.0,31.0,1550.0,0.0,1550.0
2017-01-17 14:59:00,5448.0,31.0,0.0,0.0,0.0
2017-01-18 09:32:00,5428.0,23.0,-3100.0,80.0,-3180.0
2017-01-18 14:59:00,5428.0,15.0,0.0,80.0,-80.0
2017-01-19 09:00:00,5428.0,23.0,0.0,80.0,-80.0
2017-01-19 09:12:00,5426.0,15.0,-230.0,80.0,-310.0
2017-01-19 11:25:00,5462.0,23.0,2700.0,80.0,2620.0
2017-01-19 11:26:00,5466.0,15.0,460.0,80.0,380.0
2017-01-19 13:31:00,5466.0,23.0,0.0,80.0,-80.0
2017-01-19 13:32:00,5468.0,31.0,230.0,80.0,150.0
2017-01-19 13:33:00,5468.0,23.0,0.0,80.0,-80.0
2017-01-19 13:34:00,5470.0,31.0,230.0,80.0,150.0
2017-01-19 13:58:00,5470.0,38.0,0.0,70.0,-70.0
2017-01-19 14:59:00,5464.0,38.0,-1140.0,0.0,-1140.0
2017-01-20 13:51:00,5462.0,46.0,-380.0,80.0,-460.0
2017-01-20 13:52:00,5460.0,38.0,-460.0,80.0,-540.0
2017-01-20 14:00:00,5454.0,46.0,-1140.0,80.0,-1220.0
2017-01-20 14:25:00,5440.0,31.0,-3220.0,150.0,-3370.0
2017-01-20 14:26:00,5442.0,46.0,310.0,150.0,160.0
2017-01-20 14:38:00,5438.0,31.0,-920.0,150.0,-1070.0
2017-01-20 14:41:00,5428.0,15.0,-1550.0,160.0,-1710.0
2017-01-20 14:42:00,5422.0,31.0,-450.0,160.0,-610.0
2017-01-20 14:45:00,5422.0,23.0,0.0,80.0,-80.0
2017-01-20 14:46:00,5426.0,31.0,460.0,80.0,380.0
2017-01-20 14:51:00,5418.0,15.0,-1240.0,160.0,-1400.0
2017-01-20 14:52:00,5420.0,31.0,150.0,160.0,-10.0
2017-01-20 14:57:00,5416.0,23.0,-620.0,80.0,-700.0
2017-01-20 14:58:00,5416.0,15.0,0.0,80.0,-80.0
2017-01-20 14:59:00,5412.0,-15.0,-300.0,300.0,-600.0
