profit,comm,equity,profit_ZL,equity_ZL,day
2500.0,1240.0,1260.0,2140.0,900.0,20161201
-1840.0,1360.0,-3200.0,-1840.0,-3200.0,20161202
0.0,0.0,0.0,0.0,0.0,20161205
0.0,0.0,0.0,0.0,0.0,20161206
0.0,0.0,0.0,0.0,0.0,20161207
0.0,0.0,0.0,0.0,0.0,20161208
3300.0,220.0,3080.0,3080.0,2860.0,20161209
8800.0,0.0,8800.0,8580.0,8580.0,20161212
-3520.0,660.0,-4180.0,-3300.0,-3960.0,20161213
0.0,0.0,0.0,0.0,0.0,20161214
0.0,0.0,0.0,0.0,0.0,20161215
0.0,0.0,0.0,0.0,0.0,20161216
-5180.0,2900.0,-8080.0,-4060.0,-6960.0,20161219
-1540.0,220.0,-1760.0,-1540.0,-1760.0,20161220
0.0,0.0,0.0,0.0,0.0,20161221
0.0,0.0,0.0,0.0,0.0,20161222
0.0,0.0,0.0,0.0,0.0,20161223
0.0,0.0,0.0,0.0,0.0,20161226
15400.0,440.0,14960.0,15400.0,14960.0,20161227
23320.0,460.0,22860.0,22420.0,21960.0,20161228
27340.0,720.0,26620.0,28440.0,27720.0,20161229
-18480.0,1820.0,-20300.0,-18680.0,-20500.0,20161230
2800.0,200.0,2600.0,2800.0,2600.0,20170103
0.0,0.0,0.0,0.0,0.0,20170104
0.0,0.0,0.0,0.0,0.0,20170105
0.0,0.0,0.0,0.0,0.0,20170106
-3200.0,3800.0,-7000.0,-2200.0,-6000.0,20170109
-24620.0,2240.0,-26860.0,-24820.0,-27060.0,20170110
-17420.0,3480.0,-20900.0,-17640.0,-21120.0,20170111
-13520.0,2720.0,-16240.0,-13500.0,-16220.0,20170112
11400.0,400.0,11000.0,11400.0,11000.0,20170113
-1600.0,0.0,-1600.0,-1600.0,-1600.0,20170114
1000.0,200.0,800.0,800.0,600.0,20170116
-3000.0,2600.0,-5600.0,-2600.0,-5200.0,20170117
-3400.0,400.0,-3800.0,-1800.0,-2200.0,20170118
11200.0,0.0,11200.0,11200.0,11200.0,20170119
31200.0,0.0,31200.0,31200.0,31200.0,20170120
-13600.0,0.0,-13600.0,-12800.0,-12800.0,20170121
-4400.0,800.0,-5200.0,-4400.0,-5200.0,20170123
0.0,0.0,0.0,0.0,0.0,20170124
0.0,0.0,0.0,0.0,0.0,20170125
0.0,0.0,0.0,0.0,0.0,20170126
0.0,0.0,0.0,0.0,0.0,20170203
2600.0,200.0,2400.0,2600.0,2400.0,20170206
-2400.0,0.0,-2400.0,-2600.0,-2600.0,20170207
7480.0,2020.0,5460.0,7480.0,5460.0,20170208
-17040.0,0.0,-17040.0,-17040.0,-17040.0,20170209
52540.0,0.0,52540.0,52540.0,52540.0,20170210
55380.0,0.0,55380.0,56800.0,56800.0,20170211
34780.0,720.0,34060.0,34780.0,34060.0,20170213
-2100.0,100.0,-2200.0,-2100.0,-2200.0,20170214
-18300.0,600.0,-18900.0,-18400.0,-19000.0,20170215
