profit,comm,equity,profit_ZL,equity_ZL,day
960.0,300.0,660.0,1320.0,1020.0,20161205
-2700.0,360.0,-3060.0,-2880.0,-3240.0,20161206
-2060.0,460.0,-2520.0,-2260.0,-2720.0,20161207
-3460.0,500.0,-3960.0,-3580.0,-4080.0,20161208
4420.0,0.0,4420.0,4680.0,4680.0,20161209
-8700.0,820.0,-9520.0,-10880.0,-11700.0,20161212
-22560.0,740.0,-23300.0,-24180.0,-24920.0,20161213
2580.0,140.0,2440.0,2760.0,2620.0,20161214
-13560.0,1060.0,-14620.0,-13680.0,-14740.0,20161215
-2400.0,60.0,-2460.0,0.0,-60.0,20161216
19040.0,0.0,19040.0,19040.0,19040.0,20161219
-1340.0,1440.0,-2780.0,-320.0,-1760.0,20161220
-6840.0,0.0,-6840.0,-6080.0,-6080.0,20161221
47540.0,60.0,47480.0,48360.0,48300.0,20161222
36900.0,0.0,36900.0,36080.0,36080.0,20161223
-10660.0,0.0,-10660.0,-9020.0,-9020.0,20161224
18040.0,0.0,18040.0,17220.0,17220.0,20161226
-11480.0,820.0,-12300.0,-11480.0,-12300.0,20161227
0.0,0.0,0.0,0.0,0.0,20161228
0.0,0.0,0.0,0.0,0.0,20161229
0.0,0.0,0.0,0.0,0.0,20161230
-1500.0,480.0,-1980.0,-1740.0,-2220.0,20170103
960.0,180.0,780.0,1020.0,840.0,20170104
540.0,0.0,540.0,540.0,540.0,20170105
6480.0,0.0,6480.0,6660.0,6660.0,20170106
-540.0,0.0,-540.0,-720.0,-720.0,20170107
-1620.0,0.0,-1620.0,-1440.0,-1440.0,20170109
-5340.0,60.0,-5400.0,-5220.0,-5280.0,20170110
260.0,640.0,-380.0,260.0,-380.0,20170111
-3200.0,0.0,-3200.0,-3600.0,-3600.0,20170112
800.0,0.0,800.0,800.0,800.0,20170113
3200.0,0.0,3200.0,3600.0,3600.0,20170114
10000.0,0.0,10000.0,9200.0,9200.0,20170116
4000.0,0.0,4000.0,4800.0,4800.0,20170117
-800.0,0.0,-800.0,-800.0,-800.0,20170118
-2000.0,0.0,-2000.0,-2000.0,-2000.0,20170119
-2300.0,60.0,-2360.0,-2360.0,-2420.0,20170120
-3060.0,0.0,-3060.0,-3740.0,-3740.0,20170121
-1140.0,180.0,-1320.0,-1140.0,-1320.0,20170123
23620.0,840.0,22780.0,23560.0,22720.0,20170124
-31540.0,1640.0,-33180.0,-32100.0,-33740.0,20170125
9620.0,460.0,9160.0,9160.0,8700.0,20170126
18860.0,0.0,18860.0,18860.0,18860.0,20170203
-6440.0,0.0,-6440.0,-6440.0,-6440.0,20170204
4600.0,0.0,4600.0,4140.0,4140.0,20170206
5060.0,0.0,5060.0,4600.0,4600.0,20170207
-13260.0,60.0,-13320.0,-13660.0,-13720.0,20170208
3780.0,180.0,3600.0,4640.0,4460.0,20170209
-11020.0,640.0,-11660.0,-11540.0,-12180.0,20170210
120.0,0.0,120.0,180.0,180.0,20170211
1100.0,1040.0,60.0,1200.0,160.0,20170213
6800.0,0.0,6800.0,6800.0,6800.0,20170214
-340.0,0.0,-340.0,-340.0,-340.0,20170215
