profit,comm,equity,profit_ZL,equity_ZL,day
5780.0,40.0,5740.0,6720.0,6680.0,20161129
14940.0,0.0,14940.0,13860.0,13860.0,20161130
-6620.0,180.0,-6800.0,-6660.0,-6840.0,20161201
0.0,0.0,0.0,0.0,0.0,20161202
400.0,240.0,160.0,-1040.0,-1280.0,20161205
4240.0,0.0,4240.0,31200.0,31200.0,20161206
-10300.0,220.0,-10520.0,-11600.0,-11820.0,20161207
-2380.0,0.0,-2380.0,-560.0,-560.0,20161208
-9000.0,660.0,-9660.0,-13220.0,-13880.0,20161209
-1380.0,800.0,-2180.0,2520.0,1720.0,20161212
2780.0,420.0,2360.0,-820.0,-1240.0,20161213
12940.0,140.0,12800.0,9420.0,9280.0,20161214
0.0,0.0,0.0,-2240.0,-2240.0,20161215
0.0,0.0,0.0,0.0,0.0,20161216
5440.0,560.0,4880.0,1160.0,600.0,20161219
0.0,0.0,0.0,0.0,0.0,20161220
0.0,0.0,0.0,0.0,0.0,20161221
0.0,0.0,0.0,0.0,0.0,20161222
0.0,0.0,0.0,0.0,0.0,20161223
0.0,0.0,0.0,0.0,0.0,20161226
0.0,0.0,0.0,0.0,0.0,20161227
3600.0,500.0,3100.0,3220.0,2720.0,20161228
19380.0,0.0,19380.0,18620.0,18620.0,20161229
7980.0,0.0,7980.0,5320.0,5320.0,20161230
8720.0,180.0,8540.0,7740.0,7560.0,20170103
-15920.0,560.0,-16480.0,-16680.0,-17240.0,20170104
0.0,0.0,0.0,0.0,0.0,20170105
0.0,0.0,0.0,0.0,0.0,20170106
0.0,0.0,0.0,0.0,0.0,20170109
0.0,0.0,0.0,0.0,0.0,20170110
0.0,0.0,0.0,0.0,0.0,20170111
0.0,0.0,0.0,0.0,0.0,20170112
-60.0,60.0,-120.0,-60.0,-120.0,20170113
2760.0,0.0,2760.0,2760.0,2760.0,20170114
2340.0,60.0,2280.0,2280.0,2220.0,20170116
-5100.0,120.0,-5220.0,-5220.0,-5340.0,20170117
0.0,0.0,0.0,0.0,0.0,20170118
0.0,0.0,0.0,0.0,0.0,20170119
1200.0,60.0,1140.0,1200.0,1140.0,20170120
-2340.0,0.0,-2340.0,-2400.0,-2400.0,20170121
-660.0,60.0,-720.0,-720.0,-780.0,20170123
0.0,0.0,0.0,0.0,0.0,20170124
0.0,0.0,0.0,0.0,0.0,20170125
0.0,0.0,0.0,0.0,0.0,20170126
0.0,0.0,0.0,0.0,0.0,20170203
-3760.0,260.0,-4020.0,-4280.0,-4540.0,20170206
3120.0,0.0,3120.0,3380.0,3380.0,20170207
-1340.0,420.0,-1760.0,-1340.0,-1760.0,20170208
-4920.0,240.0,-5160.0,-5400.0,-5640.0,20170209
-9500.0,1460.0,-10960.0,-10380.0,-11840.0,20170210
2800.0,0.0,2800.0,2800.0,2800.0,20170211
-4720.0,1120.0,-5840.0,-5200.0,-6320.0,20170213
-5840.0,920.0,-6760.0,-6120.0,-7040.0,20170214
-23740.0,1860.0,-25600.0,-25200.0,-27060.0,20170215
