C,stockdate,symbol,totalposition,profit,comm,equity
3620.0,2017-02-10 15:03:00,hc,0.0,,,
3730.0,2017-02-13 14:59:00,hc,0.0,0.0,0.0,0.0
3728.0,2017-02-14 14:59:00,hc,0.0,-0.0,0.0,-0.0
3677.0,2017-02-15 14:59:00,hc,0.0,-0.0,0.0,-0.0
3760.0,2017-02-16 13:31:08,hc,1.0,0.0,10.0,-10.0
3760.0,2017-02-16 13:31:08,hc,3.0,0.0,20.0,-20.0
3760.0,2017-02-16 13:31:08,hc,10.0,0.0,70.0,-70.0
3760.0,2017-02-16 13:31:08,hc,11.0,0.0,10.0,-10.0
3760.0,2017-02-16 13:31:08,hc,13.0,0.0,20.0,-20.0
3760.0,2017-02-16 13:31:08,hc,20.0,0.0,70.0,-70.0
3775.0,2017-02-16 13:34:46,hc,24.0,3000.0,40.0,2960.0
3775.0,2017-02-16 13:34:46,hc,28.0,0.0,40.0,-40.0
3775.0,2017-02-16 13:36:45,hc,30.0,0.0,20.0,-20.0
3774.0,2017-02-16 13:36:45,hc,31.0,-300.0,10.0,-310.0
3775.0,2017-02-16 13:36:45,hc,33.0,310.0,20.0,290.0
3774.0,2017-02-16 13:36:45,hc,34.0,-330.0,10.0,-340.0
3779.0,2017-02-16 13:38:40,hc,39.0,1700.0,50.0,1650.0
3779.0,2017-02-16 13:38:40,hc,41.0,0.0,20.0,-20.0
3779.0,2017-02-16 13:38:40,hc,46.0,0.0,50.0,-50.0
3779.0,2017-02-16 13:38:40,hc,48.0,0.0,20.0,-20.0
3782.0,2017-02-16 13:39:40,hc,45.0,1440.0,30.0,1410.0
3782.0,2017-02-16 13:39:40,hc,41.0,0.0,40.0,-40.0
3782.0,2017-02-16 13:39:40,hc,38.0,0.0,30.0,-30.0
3782.0,2017-02-16 13:39:40,hc,34.0,0.0,40.0,-40.0
3774.0,2017-02-16 13:47:45,hc,41.0,-2720.0,70.0,-2790.0
3774.0,2017-02-16 13:47:45,hc,48.0,0.0,70.0,-70.0
3759.0,2017-02-16 14:12:56,hc,52.0,-7200.0,40.0,-7240.0
3759.0,2017-02-16 14:12:56,hc,56.0,0.0,40.0,-40.0
3726.0,2017-02-16 14:16:09,hc,59.0,-18480.0,30.0,-18510.0
3726.0,2017-02-16 14:16:09,hc,60.0,0.0,10.0,-10.0
3726.0,2017-02-16 14:16:09,hc,63.0,0.0,30.0,-30.0
3726.0,2017-02-16 14:16:09,hc,64.0,0.0,10.0,-10.0
3703.0,2017-02-16 14:21:40,hc,60.0,-14720.0,40.0,-14760.0
3703.0,2017-02-16 14:21:40,hc,56.0,0.0,40.0,-40.0
3706.0,2017-02-16 14:22:13,hc,58.0,1680.0,20.0,1660.0
3706.0,2017-02-16 14:22:13,hc,60.0,0.0,20.0,-20.0
3706.0,2017-02-16 14:22:13,hc,62.0,0.0,20.0,-20.0
3706.0,2017-02-16 14:22:13,hc,64.0,0.0,20.0,-20.0
3710.0,2017-02-16 14:24:40,hc,60.0,2560.0,40.0,2520.0
3710.0,2017-02-16 14:24:40,hc,56.0,0.0,40.0,-40.0
3704.0,2017-02-16 14:25:15,hc,55.0,-3360.0,10.0,-3370.0
3704.0,2017-02-16 14:25:15,hc,54.0,0.0,10.0,-10.0
3704.0,2017-02-16 14:25:15,hc,53.0,0.0,10.0,-10.0
3704.0,2017-02-16 14:25:15,hc,52.0,0.0,10.0,-10.0
3704.0,2017-02-16 14:25:15,hc,51.0,0.0,10.0,-10.0
3704.0,2017-02-16 14:25:15,hc,49.0,0.0,20.0,-20.0
3704.0,2017-02-16 14:25:15,hc,48.0,0.0,10.0,-10.0
3704.0,2017-02-16 14:25:15,hc,47.0,0.0,10.0,-10.0
3704.0,2017-02-16 14:25:15,hc,46.0,0.0,10.0,-10.0
3704.0,2017-02-16 14:25:15,hc,45.0,0.0,10.0,-10.0
3704.0,2017-02-16 14:25:15,hc,44.0,0.0,10.0,-10.0
3704.0,2017-02-16 14:25:15,hc,43.0,0.0,10.0,-10.0
3704.0,2017-02-16 14:25:15,hc,41.0,0.0,20.0,-20.0
3704.0,2017-02-16 14:25:15,hc,40.0,0.0,10.0,-10.0
3702.0,2017-02-16 14:25:40,hc,36.0,-800.0,40.0,-840.0
3702.0,2017-02-16 14:25:40,hc,28.0,0.0,80.0,-80.0
3702.0,2017-02-16 14:25:40,hc,24.0,0.0,40.0,-40.0
3702.0,2017-02-16 14:25:40,hc,16.0,0.0,80.0,-80.0
