C,stockdate,symbol,totalposition,profit,comm,equity
7168.0,2017-02-13 14:59:00,,,,,
7090.0,2017-02-14 14:59:00,,,,,
7056.0,2017-02-15 14:58:00,oi,-19.0,,,
7062.0,2017-02-15 14:59:00,oi,-19.0,-1140.0,0.0,-1140.0
7064.0,2017-02-16 14:11:00,oi,-19.0,-380.0,0.0,-380.0
7066.0,2017-02-16 14:12:54,OI,-20.0,-380.0,20.0,-400.0
7066.0,2017-02-16 14:12:54,OI,-22.0,-0.0,40.0,-40.0
7066.0,2017-02-16 14:12:54,OI,-23.0,-0.0,20.0,-20.0
7066.0,2017-02-16 14:12:54,OI,-25.0,-0.0,40.0,-40.0
7034.0,2017-02-16 14:59:00,OI,-22.0,8000.0,60.0,7940.0
6948.0,2017-02-20 14:59:00,OI,-22.0,18920.0,0.0,18920.0
