profit,comm,equity,profit_ZL,equity_ZL,day
3600.0,0.0,3600.0,,,20161219
-4440.0,780.0,-5220.0,,,20161220
1980.0,600.0,1380.0,,,20161221
20760.0,60.0,20700.0,,,20161222
37920.0,0.0,37920.0,,,20161223
-6720.0,0.0,-6720.0,,,20161224
18240.0,0.0,18240.0,,,20161226
-22140.0,480.0,-22620.0,,,20161227
0.0,0.0,0.0,,,20161228
0.0,0.0,0.0,,,20161229
0.0,0.0,0.0,,,20161230
-480.0,180.0,-660.0,-420.0,-540.0,20170103
1540.0,40.0,1500.0,1220.0,1180.0,20170104
400.0,0.0,400.0,300.0,300.0,20170105
5400.0,0.0,5400.0,5500.0,5500.0,20170106
-800.0,0.0,-800.0,-800.0,-800.0,20170107
-700.0,0.0,-700.0,-500.0,-500.0,20170109
-2600.0,0.0,-2600.0,-2600.0,-2600.0,20170110
-2540.0,100.0,-2640.0,-2540.0,-2640.0,20170111
-300.0,180.0,-480.0,-360.0,-540.0,20170112
-1760.0,340.0,-2100.0,-1600.0,-1940.0,20170113
-3200.0,0.0,-3200.0,-3360.0,-3360.0,20170114
5500.0,1100.0,4400.0,4740.0,3640.0,20170116
16720.0,0.0,16720.0,14060.0,14060.0,20170117
-17300.0,320.0,-17620.0,-16180.0,-16500.0,20170118
220.0,40.0,180.0,220.0,180.0,20170119
-2400.0,460.0,-2860.0,-2220.0,-2680.0,20170120
2080.0,0.0,2080.0,2080.0,2080.0,20170121
-1280.0,0.0,-1280.0,-1440.0,-1440.0,20170123
3900.0,1320.0,2580.0,2220.0,900.0,20170124
-14020.0,1880.0,-15900.0,-15660.0,-17540.0,20170125
7200.0,0.0,7200.0,7800.0,7800.0,20170126
18000.0,0.0,18000.0,18000.0,18000.0,20170203
-18000.0,0.0,-18000.0,-17400.0,-17400.0,20170204
-2880.0,160.0,-3040.0,-3320.0,-3480.0,20170206
7460.0,300.0,7160.0,7260.0,6960.0,20170207
-20460.0,1220.0,-21680.0,-20860.0,-22080.0,20170208
-4400.0,120.0,-4520.0,-5280.0,-5400.0,20170209
17040.0,360.0,16680.0,16600.0,16240.0,20170210
