profit,comm,equity,profit_ZL,equity_ZL,day
500.0,0.0,500.0,,,20161223
500.0,0.0,500.0,,,20161224
-250.0,375.0,-625.0,,,20161226
0.0,0.0,0.0,,,20161227
0.0,0.0,0.0,,,20161228
0.0,0.0,0.0,,,20161229
0.0,0.0,0.0,,,20161230
3400.0,225.0,3175.0,3150.0,3025.0,20170103
-900.0,225.0,-1125.0,-1350.0,-1575.0,20170104
0.0,0.0,0.0,0.0,0.0,20170105
4900.0,575.0,4325.0,5350.0,4775.0,20170106
-1300.0,0.0,-1300.0,-1300.0,-1300.0,20170107
22150.0,1275.0,20875.0,21500.0,20225.0,20170109
49500.0,0.0,49500.0,49500.0,49500.0,20170110
15400.0,0.0,15400.0,15400.0,15400.0,20170111
12450.0,425.0,12025.0,12700.0,12275.0,20170112
650.0,0.0,650.0,-650.0,-650.0,20170113
40950.0,0.0,40950.0,41600.0,41600.0,20170114
18200.0,0.0,18200.0,18200.0,18200.0,20170116
-17000.0,325.0,-17325.0,-16350.0,-16675.0,20170117
0.0,0.0,0.0,0.0,0.0,20170118
0.0,0.0,0.0,0.0,0.0,20170119
7800.0,100.0,7700.0,8000.0,7900.0,20170120
200.0,0.0,200.0,0.0,0.0,20170121
2000.0,0.0,2000.0,2000.0,2000.0,20170123
-8350.0,825.0,-9175.0,-9200.0,-10025.0,20170124
-17500.0,325.0,-17825.0,-16850.0,-17175.0,20170125
2200.0,300.0,1900.0,2200.0,1900.0,20170126
-4600.0,100.0,-4700.0,-4600.0,-4700.0,20170203
-3400.0,425.0,-3825.0,-3400.0,-3825.0,20170206
-14850.0,425.0,-15275.0,-15700.0,-16125.0,20170207
0.0,0.0,0.0,0.0,0.0,20170208
0.0,0.0,0.0,0.0,0.0,20170209
26150.0,225.0,25925.0,27500.0,27275.0,20170210
